# realdump/bin_5  RELASZ=0x56700  entries=14752
# idx | r_offset            r_info       type  sym | addend                 decode
  104 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
  105 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  106 | 0x0000000001005a08  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  107 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  108 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  109 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  110 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  111 | 0x0000000001005a80  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  112 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  113 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  114 | 0x0000000001005ac8  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  115 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  116 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  117 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  118 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  119 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  120 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  121 | 0x0000000001005b70  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  122 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  123 | 0x0000000001005ba0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  124 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  125 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  126 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  127 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  128 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
  129 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  130 | 0x0000000001005c48  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  131 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  132 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  133 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  134 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  135 | 0x0000000001005cc0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  136 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  137 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  138 | 0x0000000001005d08  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  139 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  140 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  141 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  142 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  143 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  144 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  145 | 0x0000000001005db0  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  146 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  147 | 0x0000000001005de0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  148 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  149 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  150 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  151 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  152 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
  153 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  154 | 0x0000000001005e88  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  155 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  156 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  157 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  158 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  159 | 0x0000000001005f00  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  160 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  161 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  162 | 0x0000000001005f48  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  163 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  164 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  165 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  166 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  167 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  168 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  169 | 0x0000000001005ff0  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  170 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  171 | 0x0000000001006020  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  172 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  173 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  174 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  175 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  176 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
  177 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  178 | 0x00000000010060c8  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  179 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  180 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  181 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  182 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  183 | 0x0000000001006140  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  184 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  185 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  186 | 0x0000000001006188  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  187 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  188 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  189 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  190 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  191 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  192 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  193 | 0x0000000001006230  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  194 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  195 | 0x0000000001006260  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  196 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  197 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  198 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  199 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  200 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  201 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  202 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  203 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  204 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  205 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  206 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  207 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  208 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  209 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  210 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  211 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  212 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  213 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  214 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  215 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  216 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  217 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  218 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  219 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  220 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  221 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  222 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  223 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  224 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  225 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  226 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  227 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  228 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  229 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  230 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  231 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  232 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  233 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  234 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  235 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  236 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  237 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  238 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0xffffffffffffffff   sym7.val=0x804180
  239 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  240 | 0x0000000001006698  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  241 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  242 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  243 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  244 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  245 | 0x0000000001006710  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  246 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  247 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  248 | 0x0000000001006758  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  249 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  250 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  251 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  252 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  253 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  254 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  255 | 0x0000000001006800  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  256 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  257 | 0x0000000001006830  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  258 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc300000210eb8148  sub rbx,0x210;ret
  259 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  260 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  261 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  262 | 0x00000000008040b0  0x0000000700000001  R_64       7 | 0x0000000000000001   sym7.val=0x804180
  263 | 0x00000000008040c8  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  264 | 0x00000000010068d8  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  265 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0xc3000000d8c38148  add rbx,0xd8;ret
  266 | 0x00000000008040e0  0x0000000f00000001  R_64      15 | 0x000000000205c308  
  267 | 0x00000000008040de  0x0000000700000005  COPY       7 | 0x0000000000000000   sym7.val=0x804180
  268 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  269 | 0x0000000001006950  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  270 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000c348c38348  add rbx,0x48;ret
  271 | 0x00000000008040e0  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
  272 | 0x0000000001006998  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  273 | 0x0000000000000000  0x0000000000000026  R64_REL    0 | 0x000000000000000c  
  274 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x000000000205c300  
  275 | 0x00000000008040de  0x0000000f00000005  COPY      15 | 0x0000000000000000  
  276 | 0x0000000000804170  0x0000000000000026  R64_REL    0 | 0x0000000000000000  
  277 | 0x0000000000404040  0x0000000900000006  GLOB_DAT   9 | 0x0000000000000000  
  278 | 0x00000000008040c8  0x0000000800000001  R_64       8 | 0xffffffffffffffff  
  279 | 0x0000000001006a40  0x0000000700000001  R_64       7 | 0x0000000000000000   sym7.val=0x804180
  280 | 0x0000000000000000  0x0000000a00000005  COPY      10 | 0x0000000000000000   sym10.val=0x8040c8
  281 | 0x0000000001006a70  0x0000000000000026  R64_REL    0 | 0x000000000205c308  
